IdentyfikatorProduktu(ID);Atrybut(Nazwa: Typ:Pozycja) *;Wartość(Wartość: Pozycja) *;Ilość
22;Rozmiar:select:0;L:0;50
22;Rozmiar:select:0;XL:0;50
23;Rozmiar:select:0;M:0;50
23;Rozmiar:select:0;L:0;50
23;Rozmiar:select:0;XL:0;50
24;Rozmiar:select:0;M:0;50
24;Rozmiar:select:0;L:0;50
24;Rozmiar:select:0;XL:0;50
25;Rozmiar:select:0;M:0;50
25;Rozmiar:select:0;L:0;50
25;Rozmiar:select:0;XL:0;50
26;Rozmiar:select:0;M:0;50
26;Rozmiar:select:0;L:0;50
26;Rozmiar:select:0;XL:0;50
27;Rozmiar:select:0;M:0;50
27;Rozmiar:select:0;L:0;50
27;Rozmiar:select:0;XL:0;50
28;Rozmiar:select:0;M:0;50
28;Rozmiar:select:0;L:0;50
28;Rozmiar:select:0;XL:0;50
29;Rozmiar:select:0;M:0;50
29;Rozmiar:select:0;L:0;50
30;Rozmiar:select:0;M:0;50
30;Rozmiar:select:0;L:0;50
30;Rozmiar:select:0;XL:0;50
31;Rozmiar:select:0;M:0;50
31;Rozmiar:select:0;L:0;50
31;Rozmiar:select:0;XL:0;50
32;Rozmiar:select:0;M:0;50
32;Rozmiar:select:0;L:0;50
32;Rozmiar:select:0;XL:0;50
33;Rozmiar:select:0;S:0;50
34;Rozmiar:select:0;S:0;50
34;Rozmiar:select:0;M:0;50
34;Rozmiar:select:0;XL:0;50
34;Rozmiar:select:0;XXL:0;50
35;Rozmiar:select:0;M:0;50
35;Rozmiar:select:0;L:0;50
35;Rozmiar:select:0;XL:0;50
36;Rozmiar:select:0;M:0;50
36;Rozmiar:select:0;L:0;50
36;Rozmiar:select:0;XL:0;50
37;Rozmiar:select:0;XL:0;50
38;Rozmiar:select:0;M:0;50
38;Rozmiar:select:0;L:0;50
38;Rozmiar:select:0;XL:0;50
39;Rozmiar:select:0;M:0;50
39;Rozmiar:select:0;L:0;50
39;Rozmiar:select:0;XL:0;50
40;Rozmiar:select:0;M:0;50
40;Rozmiar:select:0;L:0;50
40;Rozmiar:select:0;XL:0;50
41;Rozmiar:select:0;M:0;50
41;Rozmiar:select:0;L:0;50
41;Rozmiar:select:0;XL:0;50
42;Rozmiar:select:0;M:0;50
42;Rozmiar:select:0;L:0;50
42;Rozmiar:select:0;XL:0;50
43;Rozmiar:select:0;M:0;50
43;Rozmiar:select:0;L:0;50
43;Rozmiar:select:0;XL:0;50
44;Rozmiar:select:0;M:0;50
44;Rozmiar:select:0;L:0;50
44;Rozmiar:select:0;XL:0;50
45;Rozmiar:select:0;M:0;50
45;Rozmiar:select:0;L:0;50
45;Rozmiar:select:0;XL:0;50
46;Rozmiar:select:0;M:0;50
46;Rozmiar:select:0;L:0;50
46;Rozmiar:select:0;XL:0;50
47;Rozmiar:select:0;S:0;50
47;Rozmiar:select:0;XL:0;50
48;Rozmiar:select:0;S:0;50
48;Rozmiar:select:0;M:0;50
48;Rozmiar:select:0;L:0;50
48;Rozmiar:select:0;XL:0;50
48;Rozmiar:select:0;XXL:0;50
49;Rozmiar:select:0;S:0;50
49;Rozmiar:select:0;M:0;50
49;Rozmiar:select:0;XXL:0;50
50;Rozmiar:select:0;S:0;50
50;Rozmiar:select:0;M:0;50
50;Rozmiar:select:0;XL:0;50
50;Rozmiar:select:0;XXL:0;50
51;Rozmiar:select:0;M:0;50
52;Rozmiar:select:0;S:0;50
52;Rozmiar:select:0;M:0;50
52;Rozmiar:select:0;XL:0;50
52;Rozmiar:select:0;XXL:0;50
53;Rozmiar:select:0;S:0;50
53;Rozmiar:select:0;XL:0;50
53;Rozmiar:select:0;XXL:0;50
54;Rozmiar:select:0;S:0;50
54;Rozmiar:select:0;M:0;50
55;Rozmiar:select:0;M:0;50
55;Rozmiar:select:0;XL:0;50
55;Rozmiar:select:0;XXL:0;50
56;Rozmiar:select:0;XXL:0;50
57;Rozmiar:select:0;M:0;50
57;Rozmiar:select:0;L:0;50
57;Rozmiar:select:0;XL:0;50
58;Rozmiar:select:0;M:0;50
58;Rozmiar:select:0;L:0;50
58;Rozmiar:select:0;XL:0;50
59;Rozmiar:select:0;M:0;50
59;Rozmiar:select:0;L:0;50
59;Rozmiar:select:0;XL:0;50
59;Rozmiar:select:0;XXL:0;50
60;Rozmiar:select:0;M:0;50
60;Rozmiar:select:0;L:0;50
60;Rozmiar:select:0;XL:0;50
60;Rozmiar:select:0;XXL:0;50
